DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\numpy\_core\multiarray.py first seen with mtime 1743333834.8289149
DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\PIL\ExifTags.py first seen with mtime 1743333914.366569
DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\asgiref\local.py first seen with mtime 1743333580.541028
DEBUG 2025-05-08 14:00:20,652 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\enum.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\encodings\aliases.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\google\oauth2\__init__.py first seen with mtime 1743334558.4142444
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\linalg\__init__.py first seen with mtime 1743333841.2908628
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\stats\kde.py first seen with mtime 1743333842.7553964
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1743333587.5143197
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\reports\models.py first seen with mtime 1740625528.9797575
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\neighbors\_nearest_centroid.py first seen with mtime 1743333962.2014966
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\h11\_readers.py first seen with mtime 1743334735.569637
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1743333588.086305
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\urllib\request.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\fft\_basic.py first seen with mtime 1743333840.4031563
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\special\_multiufuncs.py first seen with mtime 1743333842.4513974
DEBUG 2025-05-08 14:00:20,653 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1743333580.7279818
